,TAREdropratio,HOMSdropratio,HOMSembryocut,HOMSconversionrate,Lowdensitygrowthrate,suppressed,gen_suppressed,HOMSdropgen,confined_drive_success,gen_confined_drive_success,confined_drive_lost,gen_confined_drive_lost,r1_resistance,gen_r1_resistance,suppression_drive_lost,gen_suppression_drive_lost,hr1_resistance,gen_hr1_resistance,avg_female_fertile,stopped_1000,rate_at_stop,hrate_at_stop,confined_drive_avg_frequency_in_last_100_generations,suppression_drive_avg_frequency_in_last_100_generations
144,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,38,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
145,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,33,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
146,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,32,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
147,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,36,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
148,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,33,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
149,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,45,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
150,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,38,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
151,0.135,0.11,0.0,1.0,6.0,1,35,0.0,1,34,0,10000,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
152,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,29,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
153,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,34,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
154,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,33,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
155,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,32,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
156,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,33,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
157,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,40,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
158,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,40,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
159,0.135,0.11,0.0,1.0,6.0,0,10000,0.0,0,10000,1,30,0,10000,0,10000,0,10000,1000000,0,10000,10000,10000, 10000
