original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
19,12,0.47,0.918506,0.49,0.896501,0.87,0.118496,0.89,0.0733138,0.486819814,0.878187295,0.391367481,,
10,8,0.33,0.932283,0.35,0.890332,0.73,0.112348,0.75,0.0760151,0.345390813,0.736797145,0.391406332,,
12,7,0.29,0.915698,0.31,0.88579,0.69,0.104188,0.71,0.0636499,0.300497526,0.692066204,0.391568679,,
3,8,0.33,0.904692,0.35,0.878261,0.71,0.128708,0.73,0.0908632,0.333550376,0.725171437,0.391621061,,
19,7,0.29,0.924399,0.31,0.898449,0.69,0.132678,0.71,0.07,0.308804624,0.700427263,0.391622639,,
19,3,0.15,0.914474,0.17,0.880682,0.55,0.100258,0.57,0.0767302,0.158566525,0.550219315,0.39165279,,
2,11,0.41,0.903469,0.43,0.879265,0.79,0.135323,0.81,0.0866966,0.412866468,0.804528322,0.391661854,,
18,7,0.29,0.906158,0.31,0.883627,0.67,0.133065,0.69,0.0945122,0.295466247,0.687153099,0.391686853,,
19,8,0.33,0.925764,0.35,0.897503,0.73,0.12155,0.75,0.0798383,0.3482329,0.740332832,0.392099932,,
16,5,0.21,0.92605,0.23,0.884726,0.61,0.106931,0.63,0.0784314,0.222607686,0.614863928,0.392256242,,
6,11,0.45,0.906456,0.47,0.869077,0.83,0.114535,0.85,0.0966303,0.453454346,0.84623596,0.392781614,,
10,4,0.19,0.901366,0.21,0.88089,0.57,0.11788,0.59,0.0927152,0.191334245,0.584210326,0.392876081,,
19,10,0.41,0.905045,0.43,0.885609,0.79,0.148947,0.81,0.0949119,0.415191397,0.808116743,0.392925345,,
15,9,0.37,0.90755,0.39,0.891165,0.77,0.10359,0.79,0.0742942,0.379215746,0.772450863,0.393235117,,
9,9,0.37,0.902778,0.39,0.884672,0.75,0.117825,0.77,0.0965,0.373068596,0.766717468,0.393648872,,
2,12,0.43,0.919521,0.45,0.89589,0.83,0.117954,0.85,0.0864734,0.446521518,0.84140639,0.394884872,,
18,6,0.25,0.902326,0.27,0.891821,0.63,0.145128,0.65,0.0992908,0.254428367,0.649690557,0.39526219,,
13,12,0.49,0.903274,0.51,0.86828,0.87,0.132979,0.89,0.09685,0.491871178,0.888256248,0.396385071,,
17,9,0.35,0.921365,0.37,0.870474,0.75,0.107022,0.77,0.0824149,0.358396377,0.755707296,0.397310919,,
19,9,0.37,0.90687,0.39,0.891582,0.77,0.113957,0.79,0.07,0.378987441,0.776350297,0.397362856,,
1,8,0.33,0.910937,0.35,0.88292,0.73,0.111111,0.75,0.0713919,0.337807403,0.735594789,0.397787387,,
17,8,0.31,0.915541,0.33,0.874106,0.71,0.112887,0.73,0.0705253,0.317501388,0.71608427,0.398582882,,
14,8,0.31,0.91944,0.33,0.890701,0.71,0.11747,0.73,0.0894683,0.323528654,0.722477814,0.398949159,,
3,2,0.11,0.918977,0.13,0.879699,0.51,0.114902,0.53,0.0822139,0.119662916,0.519117691,0.399454776,,
10,6,0.25,0.916667,0.27,0.893519,0.65,0.118759,0.67,0.0924076,0.26440038,0.664237574,0.399837194,,
