Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
3,0.991565,148939
4,0.988553,149309
5,0.985707,149720
6,0.980973,148896
7,0.975121,148353
8,0.968514,148970
9,0.960053,149270
10,0.949779,147950
11,0.937062,147145
12,0.920127,146245
13,0.899781,146461
14,0.874729,145003
15,0.844869,145244
16,0.809391,142036
17,0.76919,140318
18,0.722813,137672
19,0.67391,135272
20,0.620148,131606
21,0.563656,127415
22,0.504063,119975
23,0.447665,113180
24,0.39111,104692
25,0.338213,96150
26,0.28752,86248
27,0.243059,76822
28,0.206835,68831
29,0.171484,59624
30,0.14181,51459
31,0.11701,43748
32,0.0969736,37336
33,0.0796029,31341
34,0.0637479,25548
35,0.0524951,21436
36,0.0416633,17272
37,0.0346784,14595
38,0.0279361,11816
39,0.022054,9409
40,0.0181332,7779
41,0.0157151,6755
42,0.0123555,5312
43,0.0103456,4473
44,0.0074846,3257
45,0.00642362,2801
46,0.00478732,2088
47,0.0044325,1939
48,0.00332691,1458
49,0.00308642,1351
50,0.00219898,963
51,0.00110204,482
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.994947,151430
2,0.992696,149640
3,0.991528,150629
4,0.98831,149478
5,0.986443,150179
6,0.982285,149383
7,0.977352,148792
8,0.97204,148970
9,0.964754,148030
10,0.95386,147648
11,0.942003,147885
12,0.927484,145948
13,0.908793,146672
14,0.886915,145862
15,0.857798,145468
16,0.827247,143950
17,0.788226,140834
18,0.746544,139397
19,0.697075,136092
20,0.64702,132696
21,0.590734,127263
22,0.534542,122974
23,0.476164,116123
24,0.422921,109551
25,0.366088,100833
26,0.317755,93005
27,0.272124,83382
28,0.228616,74408
29,0.191559,65444
30,0.160686,56838
31,0.133225,48871
32,0.110538,41920
33,0.0900269,34927
34,0.0731764,28960
35,0.0590238,23923
36,0.0478565,19703
37,0.0385398,16018
38,0.0309941,13053
39,0.0252254,10742
40,0.0212661,9101
41,0.0172478,7360
42,0.0140883,6053
43,0.0119411,5167
44,0.0091037,3959
45,0.0069069,3010
46,0.0055267,2413
47,0.0033127,1449
48,0.00163469,719
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.9951,150070
2,0.993194,149733
3,0.992043,149727
4,0.989192,149456
5,0.986781,149516
6,0.983588,149467
7,0.978739,148740
8,0.973096,148983
9,0.967507,150040
10,0.959115,147439
11,0.948733,148121
12,0.934742,147751
13,0.917916,147690
14,0.897892,147732
