Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
3,0.5,10,0.448347,11,0.524793,10.67567956,28,0.494647,29,0.557895,28.08463509,18,17.40895552
4,0.5,10,0.433526,11,0.508969,10.88111554,26,0.441905,27,0.52954,26.66292007,16,15.78180452
5,0.5,11,0.481707,12,0.50499,11.78568054,26,0.468813,27,0.542977,26.420514,15,14.63483346
6,0.5,9,0.448743,10,0.525458,9.668148341,28,0.467509,29,0.539652,28.45036941,19,18.78222106
7,0.5,11,0.486742,12,0.561644,11.17700462,28,0.48419,29,0.529774,28.34683222,17,17.1698276
8,0.5,9,0.435606,10,0.546125,9.582650947,25,0.431925,26,0.542373,25.6163534,16,16.03370245
9,0.5,9,0.46875,10,0.589837,9.258078902,28,0.419958,29,0.502913,28.96488458,19,19.70680567
10,0.5,10,0.465619,11,0.543186,10.44324262,28,0.443798,29,0.524416,28.6971396,18,18.25389698
11,0.5,9,0.418561,10,0.502901,9.96560351,28,0.485393,29,0.564054,28.18569558,19,18.22009207
12,0.5,10,0.48847,11,0.595918,10.10730772,32,0.49703,33,0.538803,32.07109856,22,21.96379084
13,0.5,9,0.403986,10,0.502959,9.970102957,24,0.399217,25,0.503745,24.96417228,15,14.99406932
14,0.5,9,0.456107,10,0.527115,9.618141618,30,0.470348,31,0.580574,30.26901094,21,20.65086932
15,0.5,11,0.454376,12,0.528487,11.61561711,28,0.497087,29,0.61336,28.02505311,17,16.40943599
16,0.5,10,0.437367,11,0.531128,10.66800695,28,0.446296,29,0.505495,28.90717749,18,18.23917053
17,0.5,11,0.487755,12,0.606925,11.10275237,30,0.464286,31,0.583026,30.3007748,19,19.19802243
18,0.5,10,0.466942,11,0.532075,10.5075461,29,0.418502,30,0.54,29.67077647,19,19.16323038
19,0.5,9,0.465209,10,0.538126,9.477131533,27,0.496337,28,0.52381,27.13333091,18,17.65619937
0,0.55,9,0.478439,10,0.604211,9.171429253,27,0.482759,28,0.59799,27.1496212,18,17.97819194
1,0.55,9,0.464516,10,0.540881,9.464663131,28,0.487552,29,0.570499,28.15007173,19,18.6854086
2,0.55,8,0.431444,9,0.501938,8.972508299,24,0.483577,25,0.569358,24.19145265,16,15.21894435
