Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
161,0.85,5,0.45269,6,0.629098,5.268185116,16,0.443831,17,0.580135,16.41208622,11,11.1439011
162,0.85,6,0.471173,7,0.585784,6.25152036,17,0.497881,18,0.641723,17.01473144,11,10.76321108
163,0.85,6,0.497807,7,0.623679,6.017422461,16,0.391304,17,0.534173,16.76080885,10,10.74338639
164,0.85,6,0.452652,7,0.57173,6.397621727,16,0.486726,17,0.574153,16.15182953,10,9.754207799
165,0.85,6,0.475149,7,0.632653,6.15778012,15,0.39469,16,0.503968,15.96368894,9,9.80590882
166,0.85,5,0.385199,6,0.54661,5.711234055,16,0.417495,17,0.560166,16.57828851,11,10.86705446
167,0.85,6,0.340816,7,0.503546,6.978209304,17,0.447059,18,0.623246,17.30048187,11,10.32227257
168,0.85,5,0.373832,6,0.508738,5.935228974,17,0.44316,18,0.604348,17.35263171,12,11.41740274
169,0.85,6,0.480932,7,0.58215,6.188385465,18,0.386463,19,0.563147,18.64259922,12,12.45421375
170,0.85,5,0.352362,6,0.513078,5.918626646,17,0.43038,18,0.578529,17.4699323,12,11.55130565
171,0.85,5,0.434238,6,0.535484,5.649526895,16,0.323077,17,0.528713,16.86036978,11,11.21084288
172,0.85,5,0.467412,6,0.528807,5.53079241,17,0.49501,18,0.611227,17.04293692,12,11.51214451
173,0.85,6,0.452954,7,0.633929,6.259958558,17,0.451311,18,0.532688,17.59831402,11,11.33835546
174,0.85,7,0.468547,8,0.568396,7.315005659,18,0.344298,19,0.510557,18.93650269,11,11.62149703
175,0.85,6,0.396963,7,0.505071,6.953093203,18,0.42449,19,0.578714,18.48961251,12,11.53651931
176,0.85,5,0.376754,6,0.504405,5.965491849,17,0.440945,18,0.584946,17.41010132,12,11.44460947
177,0.85,5,0.367063,6,0.514286,5.902963532,15,0.340509,16,0.547529,15.77041349,10,9.867449955
178,0.85,6,0.468172,7,0.601751,6.238270986,17,0.391621,18,0.556911,17.65569,11,11.41741901
179,0.85,5,0.410526,6,0.526126,5.77399654,16,0.355388,17,0.512476,16.92057955,11,11.14658301
180,0.85,6,0.429703,7,0.62201,6.365545716,17,0.494565,18,0.65102,17.03473842,11,10.66919271
181,0.85,6,0.403475,7,0.578261,6.552246747,16,0.396648,17,0.564706,16.61497816,10,10.06273141
182,0.85,5,0.367304,6,0.528777,5.821784447,18,0.441016,19,0.58547,18.40832376,13,12.58653931
183,0.85,6,0.490234,7,0.633772,6.068037732,18,0.483607,19,0.569416,18.19104057,12,12.12300283
184,0.85,6,0.461538,7,0.64466,6.21003484,17,0.479675,18,0.595745,17.17510985,11,10.96507501
185,0.85,6,0.408624,7,0.596244,6.487026969,16,0.361616,17,0.523504,16.8548132,10,10.36778623
186,0.85,6,0.45102,7,0.607955,6.312103737,17,0.357741,18,0.517606,17.88986958,11,11.57776584
187,0.85,5,0.354839,6,0.505976,5.960459715,16,0.390625,17,0.531568,16.77602293,11,10.81556322
