Number,DriveEfficiency,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
1,0.55,27,0.481112,28,0.509128,27.67418618,53,0.473383,54,0.504132,53.86562165,26,26.19143547
1,0.55,32,0.497745,33,0.535565,32.05962454,57,0.47869,58,0.512077,57.63827238,25,25.57864784
1,0.55,26,0.488385,27,0.515847,26.42294807,57,0.499466,58,0.53806,57.01383635,31,30.59088827
1,0.55,26,0.467386,27,0.508081,26.80142524,54,0.46692,55,0.50397,54.8928475,28,28.09142227
1,0.55,31,0.497674,32,0.538751,31.05662536,60,0.497582,61,0.535152,60.06435986,29,29.0077345
1,0.55,30,0.482461,31,0.516162,30.52042966,56,0.48745,57,0.506369,56.6633543,26,26.14292464
1,0.55,30,0.482162,31,0.508801,30.66961973,63,0.490272,64,0.506303,63.60682428,33,32.93720455
1,0.55,30,0.494786,31,0.525599,30.16921429,56,0.482372,57,0.519762,56.47146296,26,26.30224867
1,0.55,30,0.492023,31,0.517926,30.30795661,57,0.473107,58,0.504304,57.86203802,27,27.55408141
1,0.55,30,0.480349,31,0.512145,30.61803371,58,0.494516,59,0.528352,58.1620759,28,27.54404218
1,0.55,27,0.484952,28,0.500536,27.96560575,54,0.46339,55,0.517415,54.67764924,27,26.71204349
1,0.55,28,0.488193,29,0.510115,28.53859137,56,0.489374,57,0.537984,56.218597,28,27.68000563
2,0.55,31,0.472467,32,0.501106,31.96138133,57,0.487259,58,0.509148,57.58207319,26,25.62069185
2,0.55,27,0.472046,28,0.510074,27.73508993,55,0.453944,56,0.503034,55.93819515,28,28.20310522
2,0.55,28,0.496878,29,0.508466,28.26941664,56,0.468604,57,0.514346,56.68637139,28,28.41695475
2,0.55,31,0.495726,32,0.512807,31.25021954,60,0.492537,61,0.519474,60.27705387,29,29.02683432
2,0.55,26,0.49889,27,0.515504,26.06681112,54,0.487753,55,0.512221,54.50053131,28,28.43372018
2,0.55,29,0.479293,30,0.524733,29.45569982,58,0.481422,59,0.52,58.48156981,29,29.02586998
2,0.55,25,0.487087,26,0.512545,25.50722759,51,0.484343,52,0.509558,51.62093992,26,26.11371233
2,0.55,30,0.497315,31,0.510384,30.20544801,58,0.488914,59,0.52058,58.35009158,28,28.14464357
2,0.55,28,0.466814,29,0.502328,28.93444839,55,0.475723,56,0.503804,55.86453474,27,26.93008635
