Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
162,0.5,31,0.497368,32,0.554371,31.04617301,70,0.499484,71,0.51477,70.03375638,39,38.98758337
163,0.5,33,0.484848,34,0.54603,33.24765454,74,0.478964,75,0.524607,74.46088119,41,41.21322665
164,0.5,31,0.49779,32,0.538342,31.05449793,74,0.488134,75,0.524811,74.32352701,43,43.26902908
165,0.5,38,0.495039,39,0.522556,38.18028855,72,0.475108,73,0.520293,72.55089078,34,34.37060223
166,0.5,36,0.495868,37,0.533798,36.10893752,78,0.492216,79,0.520518,78.27503357,42,42.16609605
167,0.5,32,0.4815,33,0.518908,32.49454662,76,0.495218,77,0.539532,76.10791172,44,43.6133651
168,0.5,35,0.47639,36,0.505895,35.80020336,75,0.472558,76,0.514271,75.65787644,40,39.85767309
169,0.5,40,0.495513,41,0.53491,40.11389192,82,0.49067,83,0.516269,82.36446736,42,42.25057544
170,0.5,34,0.454218,35,0.506192,34.88086351,76,0.46865,77,0.505882,76.84201762,42,41.96115411
171,0.5,37,0.476035,38,0.508377,37.74098695,76,0.489819,77,0.519648,76.34131215,39,38.60032519
172,0.5,40,0.488901,41,0.511799,40.48471482,77,0.499462,78,0.512778,77.04040252,37,36.5556877
173,0.5,34,0.495846,35,0.513528,34.23492818,72,0.465142,73,0.513736,72.71733136,38,38.48240318
174,0.5,40,0.4926,41,0.520548,40.26477744,83,0.492316,84,0.550221,83.13270011,43,42.86792267
175,0.5,36,0.498476,37,0.504787,36.24148312,74,0.48079,75,0.512308,74.60949299,38,38.36800986
176,0.5,35,0.488255,36,0.518072,35.39390281,76,0.497735,77,0.518479,76.1091882,41,40.71528539
177,0.5,37,0.486914,38,0.529381,37.30814515,80,0.483115,81,0.532902,80.33914476,43,43.03099961
178,0.5,34,0.49654,35,0.521786,34.13705141,74,0.496023,75,0.526524,74.13038917,40,39.99333775
179,0.5,33,0.496926,34,0.547267,33.06106355,73,0.499479,74,0.540914,73.01257391,40,39.95151036
180,0.5,36,0.495749,37,0.523911,36.15094809,79,0.481714,80,0.522466,79.44871417,43,43.29776609
181,0.5,33,0.485393,34,0.524499,33.37352324,77,0.486471,78,0.508342,77.61858168,44,44.24505844
182,0.5,31,0.486316,32,0.514508,31.48538593,75,0.492362,76,0.539931,75.16056676,44,43.67518083
