Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
190,0.5,85,0.470556,86,0.518757,85.6108587,314,0.476374,315,0.503378,314.8749074,229,229.2640487
191,0.5,80,0.493541,81,0.509688,80.40001239,271,0.487973,272,0.516841,271.4166205,191,191.0166081
192,0.5,115,0.481027,116,0.510297,115.6482064,395,0.485682,396,0.512263,395.5386554,280,279.8904491
193,0.5,143,0.492794,144,0.503898,143.6489553,359,0.495439,360,0.504706,359.4921765,216,215.8432212
194,0.5,63,0.463211,64,0.50111,63.97071163,279,0.492018,280,0.503825,279.6760396,216,215.705328
195,0.5,79,0.493956,80,0.523861,79.20210667,315,0.475816,316,0.513333,315.6446144,236,236.4425078
196,0.5,99,0.481013,100,0.520046,99.48643456,347,0.487621,348,0.501756,347.8757694,248,248.3893348
197,0.5,134,0.483412,135,0.506501,134.7184374,348,0.49538,349,0.519451,348.1919322,214,213.4734948
198,0.5,87,0.482609,88,0.502181,87.8885653,324,0.498926,325,0.506627,324.1394624,237,236.2508971
199,0.5,88,0.469819,89,0.503405,88.89861847,323,0.489643,324,0.508055,323.5625136,235,234.6638951
0,0.55,100,0.494604,101,0.514151,100.2760526,316,0.466557,317,0.517449,316.6571367,216,216.3810841
1,0.55,0,0,0,0,1000,0,0,0,0,1000,1000,1000
2,0.55,151,0.489409,152,0.506376,151.6242117,393,0.49829,394,0.527907,393.0577371,242,241.4335254
3,0.55,98,0.479775,99,0.509692,98.67603704,312,0.474401,313,0.514092,312.6449573,214,213.9689203
4,0.55,139,0.497725,140,0.518252,139.1108296,369,0.469631,370,0.501085,369.9655052,230,230.8546755
5,0.55,95,0.487559,96,0.502291,95.84448819,361,0.489667,362,0.513812,361.4279561,266,265.5834679
6,0.55,120,0.487269,121,0.505882,120.6839843,347,0.480969,348,0.51856,347.5062648,227,226.8222805
7,0.55,88,0.47338,89,0.523509,88.53102994,309,0.482884,310,0.519458,309.4679827,221,220.9369528
8,0.55,95,0.489917,96,0.500559,95.94747228,303,0.479885,304,0.503247,303.8610136,208,207.9135413
9,0.55,96,0.476491,97,0.501728,96.9315291,312,0.499461,313,0.504695,312.1029805,216,215.1714514
10,0.55,119,0.484192,120,0.503304,119.8271243,340,0.494015,341,0.510684,340.3590497,221,220.5319254
11,0.55,91,0.495793,92,0.514552,91.22426569,329,0.486602,330,0.521739,329.3813075,238,238.1570418
12,0.55,109,0.483274,110,0.502345,109.8770384,322,0.485816,323,0.509529,322.5981529,213,212.7211145
13,0.55,88,0.488987,89,0.503977,88.73468979,301,0.470833,302,0.501672,301.9457829,213,213.2110931
14,0.55,177,0.489451,178,0.505641,177.651575,414,0.478571,415,0.504499,414.826481,237,237.174906
15,0.55,96,0.482989,97,0.5,97,298,0.495647,299,0.527244,298.1377662,202,201.1377662
16,0.55,0,0,0,0,1000,0,0,0,0,1000,1000,1000
17,0.55,0,0,0,0,1000,0,0,0,0,1000,1000,1000
18,0.55,80,0.486856,81,0.520148,80.39480956,311,0.484118,312,0.501863,311.8950127,231,231.5002031
19,0.55,130,0.478818,131,0.508959,130.7027637,370,0.483541,371,0.510078,370.6202284,240,239.9174647
20,0.55,122,0.476322,123,0.509677,122.7098786,316,0.49777,317,0.504425,316.3350864,194,193.6252078
21,0.55,92,0.485083,93,0.526602,92.35928129,269,0.493437,270,0.507692,269.4603999,177,177.1011186
22,0.55,0,0,0,0,1000,0,0,0,0,1000,1000,1000
23,0.55,79,0.478261,80,0.524661,79.46851293,322,0.493151,323,0.509413,322.4211659,243,242.952653
24,0.55,62,0.484501,63,0.5053,62.74518006,274,0.488166,275,0.5,275,212,212.2548199
25,0.55,161,0.487097,162,0.50057,161.9576932,387,0.481667,388,0.506977,387.7243382,226,225.766645
26,0.55,115,0.478606,116,0.53184,115.401886,317,0.474947,318,0.513797,317.6448649,202,202.2429789
27,0.55,59,0.494193,60,0.508859,59.39594982,263,0.486928,264,0.502809,263.823122,204,204.4271722
28,0.55,81,0.478471,82,0.509217,81.70022117,281,0.495114,282,0.516667,281.226697,200,199.5264758
29,0.55,0,0,0,0,1000,0,0,0,0,1000,1000,1000
30,0.55,75,0.488449,76,0.5,76,264,0.480068,265,0.504773,264.8068002,189,188.8068002
31,0.55,89,0.492729,90,0.506494,89.52822376,324,0.495082,325,0.517647,324.2179481,235,234.6897244
32,0.55,86,0.488966,87,0.504684,86.70199771,312,0.498357,313,0.520595,312.0738825,226,225.3718848
33,0.55,54,0.490465,55,0.53653,54.20699012,268,0.484666,269,0.524076,268.3890891,214,214.1820989
34,0.55,131,0.491114,132,0.512097,131.4234857,357,0.493485,358,0.505233,357.5545625,226,226.1310768
35,0.55,130,0.494331,131,0.509236,130.3803422,358,0.474461,359,0.511057,358.6978632,228,228.317521
