Generation,New_Num_Wild_Gene_Frequency,Wild_Type_Gene_Frequency,New_Num_Wild_Gene,Num_Wild_Gene
138,NAN,NAN,0,0
139,NAN,NAN,0,0
140,NAN,NAN,0,0
141,NAN,NAN,0,0
142,NAN,NAN,0,0
143,NAN,NAN,0,0
144,NAN,NAN,0,0
145,NAN,NAN,0,0
146,NAN,NAN,0,0
147,NAN,NAN,0,0
148,NAN,NAN,0,0
149,NAN,NAN,0,0
150,NAN,NAN,0,0
NAN,NAN,NAN,NAN,NAN
1,0.99502,0.993372,200986,150771
2,0.992867,0.990532,200301,150539
3,0.991343,0.988473,201665,151006
4,0.988763,0.985081,198251,148764
5,0.986202,0.98167,199992,149847
6,0.982321,0.976566,198472,148854
7,0.976917,0.969477,199592,149788
8,0.971114,0.961794,199962,149733
9,0.962984,0.951162,198317,148465
10,0.951955,0.936889,198138,148452
11,0.938903,0.920129,197318,147919
12,0.924801,0.90199,197358,147691
13,0.904733,0.87662,195160,146008
14,0.882982,0.849035,194588,145033
15,0.853377,0.812832,191351,142778
16,0.821707,0.77395,190429,141468
17,0.784596,0.730179,186136,138290
18,0.740482,0.679359,181310,134634
19,0.692625,0.626035,176395,131046
20,0.642155,0.570184,171133,126509
21,0.587455,0.512016,162470,119715
22,0.530915,0.45417,153944,113175
23,0.471828,0.397101,142812,105296
24,0.421152,0.34793,134040,98301
25,0.366246,0.296946,120538,88097
26,0.315558,0.252229,108324,79252
27,0.269046,0.212126,95862,70121
28,0.230897,0.179227,85398,62115
29,0.192679,0.148482,72846,53223
30,0.161619,0.122945,62672,45573
31,0.133413,0.100792,52908,38521
32,0.111375,0.0837884,45109,32914
33,0.0922272,0.0688855,37879,27583
34,0.0755863,0.0559902,31373,22757
35,0.0646168,0.0473853,27099,19513
36,0.0506896,0.0373356,21435,15569
37,0.0461236,0.032697,19685,13761
38,0.0322835,0.0244666,13787,10365
39,0.0278824,0.020213,12022,8647
40,0.020613,0.0154374,8913,6640
41,0.0206837,0.0142903,8964,6153
42,0.0163056,0.0116615,7072,5034
43,0.0116783,0.0086448,5076,3746
44,0.00763084,0.00604281,3329,2632
45,0.00793738,0.00546497,3477,2388
46,0.0080564,0.00541277,3522,2360
47,0.00659842,0.00474031,2884,2068
48,0.00517737,0.00379851,2278,1669
49,0.00585424,0.00391348,2575,1718
50,0.00372159,0.00284788,1631,1247
51,0.00151686,0.00151686,666,666
52,NAN,NAN,0,0
53,NAN,NAN,0,0
54,NAN,NAN,0,0
55,NAN,NAN,0,0
56,NAN,NAN,0,0
57,NAN,NAN,0,0
58,NAN,NAN,0,0
59,NAN,NAN,0,0
60,NAN,NAN,0,0
61,NAN,NAN,0,0
62,NAN,NAN,0,0
63,NAN,NAN,0,0
64,NAN,NAN,0,0
65,NAN,NAN,0,0
66,NAN,NAN,0,0
67,NAN,NAN,0,0
68,NAN,NAN,0,0
69,NAN,NAN,0,0
70,NAN,NAN,0,0
71,NAN,NAN,0,0
72,NAN,NAN,0,0
73,NAN,NAN,0,0
74,NAN,NAN,0,0
75,NAN,NAN,0,0
76,NAN,NAN,0,0
77,NAN,NAN,0,0
78,NAN,NAN,0,0
79,NAN,NAN,0,0
80,NAN,NAN,0,0
81,NAN,NAN,0,0
82,NAN,NAN,0,0
83,NAN,NAN,0,0
84,NAN,NAN,0,0
85,NAN,NAN,0,0
86,NAN,NAN,0,0
87,NAN,NAN,0,0
88,NAN,NAN,0,0
89,NAN,NAN,0,0
90,NAN,NAN,0,0
91,NAN,NAN,0,0
92,NAN,NAN,0,0
93,NAN,NAN,0,0
94,NAN,NAN,0,0
95,NAN,NAN,0,0
96,NAN,NAN,0,0
97,NAN,NAN,0,0
98,NAN,NAN,0,0
99,NAN,NAN,0,0
100,NAN,NAN,0,0
101,NAN,NAN,0,0
102,NAN,NAN,0,0
103,NAN,NAN,0,0
104,NAN,NAN,0,0
105,NAN,NAN,0,0
106,NAN,NAN,0,0
107,NAN,NAN,0,0
