Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
9,2,0.9,4,0.875796,5,0.79011,4.884578578,17,0.893509,18,0.788423,17.88983309,13,13.00525451
10,2,0.9,5,0.836013,6,0.754651,5.442626779,18,0.827112,19,0.737064,18.30108387,13,12.85845709
11,2,0.9,4,0.869427,5,0.777426,4.754633102,17,0.845436,18,0.755717,17.50642562,13,12.75179252
12,2,0.9,5,0.808824,6,0.729904,5.111809427,18,0.808602,19,0.729785,18.10913889,13,12.99732946
13,2,0.9,4,0.866321,5,0.765306,4.656546058,16,0.866044,17,0.750271,16.57046116,12,11.9139151
14,2,0.9,4,0.878125,5,0.775805,4.763535966,16,0.889006,17,0.788032,16.88147444,12,12.11793847
15,2,0.9,4,0.851324,5,0.761635,4.572244088,17,0.894836,18,0.780618,17.83030696,13,13.25806287
16,2,0.9,4,0.871249,5,0.764995,4.670553579,17,0.86747,18,0.795328,17.93523883,13,13.26468526
17,2,0.9,4,0.879065,5,0.776739,4.772677521,16,0.84749,17,0.736792,16.42900504,12,11.65632752
18,2,0.9,4,0.848454,5,0.757292,4.531515324,17,0.87156,18,0.77918,17.77462654,13,13.24311122
19,2,0.9,4,0.879707,5,0.782065,4.816318797,16,0.85309,17,0.789648,16.83682734,12,12.02050854
0,2,0.95,4,0.841451,5,0.75553,4.482431536,17,0.833663,18,0.729287,17.32251667,13,12.84008513
1,2,0.95,4,0.832482,5,0.740426,4.352850439,15,0.805093,16,0.730608,15.06837618,11,10.71552574
2,2,0.95,4,0.83001,5,0.70289,4.236076149,14,0.842375,15,0.740618,14.41643327,10,10.18035712
3,2,0.95,5,0.807453,6,0.680233,5.058583556,17,0.858949,18,0.746583,17.52461599,12,12.46603243
4,2,0.95,4,0.862851,5,0.76607,4.649414658,15,0.898401,16,0.786157,15.87667047,11,11.22725581
5,2,0.95,4,0.858787,5,0.700319,4.370970795,17,0.800976,18,0.709012,17.01061285,13,12.63964205
6,2,0.95,4,0.833669,5,0.725055,4.309987663,15,0.857143,16,0.780639,15.74692827,11,11.4369406
7,2,0.95,4,0.857459,5,0.772885,4.679393194,17,0.854528,18,0.742594,17.48714421,13,12.80775102
8,2,0.95,4,0.83859,5,0.699789,4.278023934,16,0.888525,17,0.780379,16.81856934,12,12.54054541
9,2,0.95,4,0.855809,5,0.752621,4.540847773,16,0.875349,17,0.774227,16.74512965,12,12.20428187
10,2,0.95,4,0.836735,5,0.748352,4.415634228,16,0.8778,17,0.782232,16.81408003,12,12.3984458
11,2,0.95,4,0.882296,5,0.795267,4.945615829,16,0.802748,17,0.712581,16.03047678,12,11.08486095
12,2,0.95,4,0.867444,5,0.741512,4.535558873,15,0.892116,16,0.779318,15.81664569,11,11.28108681
13,2,0.95,4,0.864097,5,0.784358,4.803835012,17,0.815401,18,0.704301,17.13862286,13,12.33478785
14,2,0.95,4,0.879386,5,0.792026,4.908722527,16,0.853755,17,0.765182,16.60690052,12,11.698178
15,2,0.95,5,0.840164,6,0.718478,5.33006262,17,0.814928,18,0.658996,17.09573404,12,11.76567142
16,2,0.95,4,0.83952,5,0.759239,4.492270898,17,0.84581,18,0.734177,17.41036253,13,12.91809163
17,2,0.95,4,0.903774,5,0.787793,4.894750002,16,0.825444,17,0.718002,16.23681614,12,11.34206614
18,2,0.95,4,0.812771,5,0.705028,4.118532062,15,0.882874,16,0.796107,15.95513271,11,11.83660065
19,2,0.95,4,0.831694,5,0.730195,4.312259234,14,0.888303,15,0.797455,14.97198617,10,10.65972694
0,2,1,4,0.819215,5,0.668712,4.127671874,15,0.869523,16,0.762918,15.65215515,11,11.52448328
1,2,1,4,0.832992,5,0.730022,4.320404001,14,0.846465,15,0.734444,14.4147883,10,10.0943843
2,2,1,4,0.853095,5,0.728866,4.42739618,15,0.85353,16,0.720997,15.40389941,11,10.97650323
3,2,1,4,0.827622,5,0.70247,4.22070762,15,0.856719,16,0.746098,15.51273266,11,11.29202504
4,2,1,4,0.824353,5,0.700997,4.197420474,15,0.894572,16,0.792261,15.92435808,11,11.72693761
5,2,1,4,0.84728,5,0.724385,4.384718662,16,0.83691,17,0.722282,16.32199812,12,11.93727945
6,2,1,3,0.892148,4,0.771645,3.764694655,15,0.880851,16,0.770632,15.73354866,12,11.96885401
7,2,1,4,0.85015,5,0.774975,4.667110076,15,0.899265,16,0.785855,15.87527555,11,11.20816547
8,2,1,4,0.849602,5,0.751008,4.503093495,16,0.82505,17,0.729645,16.26256486,12,11.75947136
9,2,1,4,0.85015,5,0.725108,4.401065242,16,0.881178,17,0.79696,16.9639032,12,12.56283796
10,2,1,4,0.834773,5,0.752546,4.422890292,15,0.872655,16,0.762405,15.65900227,11,11.23611198
11,2,1,4,0.839191,5,0.745977,4.420441135,16,0.840812,17,0.739487,16.40278312,12,11.98234199
12,2,1,4,0.855194,5,0.739955,4.478952438,16,0.806416,17,0.662207,16.04449098,12,11.56553854
13,2,1,4,0.838919,5,0.735222,4.375314619,16,0.81639,17,0.69924,16.1399061,12,11.76459148
14,2,1,4,0.825052,5,0.693333,4.190192759,14,0.882874,15,0.775446,14.77143761,10,10.58124486
15,2,1,4,0.854719,5,0.746524,4.505744258,16,0.872432,17,0.755258,16.61815761,12,12.11241335
16,2,1,4,0.869436,5,0.738277,4.529403243,15,0.851417,16,0.726977,15.41318708,11,10.88378383
17,2,1,4,0.816169,5,0.673611,4.113420503,14,0.836288,15,0.73996,14.3767129,10,10.2632924
18,2,1,4,0.842391,5,0.736898,4.401837089,15,0.826617,16,0.70671,15.22198037,11,10.82014328
19,2,1,4,0.824544,5,0.718974,4.232490291,15,0.891784,16,0.779472,15.81722345,11,11.58473316
0,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
1,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
2,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
3,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
4,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
5,2.5,0.5,48,0.824273,49,0.797945,48.92194622,0,0,0,0,100,100,100
