Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
11,2,0.8,4,0.842495,5,0.700418,4.299098376,15,0.822868,16,0.70903,15.20088196,11,10.90178358
12,2,0.8,4,0.848633,5,0.756124,4.525711012,17,0.834525,18,0.738232,17.35854112,13,12.83283011
13,2,0.8,4,0.851852,5,0.754386,4.532000903,17,0.845842,18,0.740474,17.43506567,13,12.90306477
14,2,0.8,4,0.800209,5,0.740701,4.003512133,17,0.844985,18,0.717868,17.35388658,13,13.35037444
15,2,0.8,4,0.830661,5,0.694561,4.22528288,17,0.818792,18,0.69989,17.15804612,13,12.93276324
16,2,0.8,4,0.811563,5,0.707263,4.110862895,16,0.869168,17,0.775984,16.74227335,12,12.63141046
17,2,0.8,4,0.885481,5,0.754405,4.652148372,16,0.871542,17,0.785185,16.82844471,12,12.17629634
18,2,0.8,4,0.812102,5,0.705882,4.113933346,16,0.848185,17,0.712594,16.35537019,12,12.24143685
19,2,0.8,4,0.864159,5,0.758777,4.608823139,15,0.841026,16,0.742132,15.41484822,11,10.80602508
0,2,0.85,4,0.802757,5,0.723094,4.034608287,15,0.878822,16,0.77968,15.79504146,11,11.76043317
1,2,0.85,4,0.830169,5,0.718266,4.269599564,17,0.828109,18,0.72016,17.26039148,13,12.99079192
2,2,0.85,4,0.847896,5,0.744728,4.464252481,16,0.840726,17,0.722513,16.34451372,12,11.88026124
3,2,0.85,4,0.865302,5,0.747204,4.552947552,17,0.880037,18,0.767216,17.7094158,13,13.15646825
4,2,0.85,4,0.882166,5,0.768116,4.720438404,16,0.902534,17,0.790389,16.91429845,12,12.19386005
5,2,0.85,3,0.868554,4,0.767368,3.677504793,15,0.871766,16,0.74538,15.56783188,12,11.89032709
6,2,0.85,3,0.906375,4,0.790899,3.921187086,16,0.836399,17,0.693133,16.25406586,13,12.33287878
7,2,0.85,4,0.832444,5,0.71368,4.273180425,16,0.882288,17,0.757962,16.66187282,12,12.38869239
8,2,0.85,4,0.810152,5,0.665973,4.070412473,17,0.806695,18,0.645304,17.04148311,13,12.97107063
9,2,0.85,4,0.8286,5,0.732884,4.298800618,16,0.841302,17,0.734628,16.38717963,12,12.08837901
10,2,0.85,4,0.847312,5,0.750242,4.487400845,17,0.803648,18,0.667034,17.02670297,13,12.53930213
11,2,0.85,4,0.808425,5,0.675052,4.063168707,16,0.831337,17,0.680828,16.20820682,12,12.14503811
12,2,0.85,4,0.880878,5,0.780515,4.805854747,16,0.902778,17,0.776688,16.81511619,12,12.00926144
13,2,0.85,4,0.852492,5,0.724393,4.409776813,16,0.85309,17,0.748918,16.50963791,12,12.09986109
14,2,0.85,4,0.852371,5,0.690655,4.323845507,16,0.834686,17,0.738378,16.360157,12,12.03631149
15,2,0.85,4,0.851665,5,0.751592,4.516273121,16,0.835729,17,0.727081,16.32885097,12,11.81257785
16,2,0.85,4,0.888,5,0.756646,4.669945339,16,0.831712,17,0.704312,16.2489168,12,11.57897146
17,2,0.85,4,0.810838,5,0.702355,4.099905054,15,0.88731,16,0.750816,15.63966182,11,11.53975676
18,2,0.85,4,0.805348,5,0.701031,4.051266812,17,0.81104,18,0.742798,17.1617772,13,13.11051039
19,2,0.85,4,0.837864,5,0.711042,4.298560187,17,0.857143,18,0.730512,17.45125601,13,13.15269582
0,2,0.9,3,0.902361,4,0.798515,3.985699979,13,0.903158,14,0.797,13.97174024,10,9.986040257
1,2,0.9,4,0.809322,5,0.680634,4.072438767,15,0.894636,16,0.796797,15.96726254,11,11.89482378
