Number,EMBRYO,GERMLINE,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
14,0,0.8,22,0.499675,23,0.522158,22.01445537,59,0.498413,60,0.546504,59.03299994,37,37.01854457
15,0,0.8,19,0.446213,20,0.514267,19.79035766,55,0.46877,56,0.514444,55.68375881,36,35.89340116
16,0,0.8,20,0.451044,21,0.514056,20.77693138,55,0.477524,56,0.535286,55.38911395,35,34.61218257
17,0,0.8,21,0.468956,22,0.522768,21.57689735,57,0.496676,58,0.536665,57.08312286,36,35.50622551
18,0,0.8,22,0.472661,23,0.527549,22.49808701,57,0.481719,58,0.557916,57.23991758,35,34.74183057
19,0,0.8,21,0.453776,22,0.502581,21.94711607,59,0.47714,60,0.532129,59.41571951,38,37.46860343
0,0,0.85,19,0.466583,20,0.555077,19.37761882,54,0.455433,55,0.506205,54.87778697,35,35.50016815
1,0,0.85,20,0.493274,21,0.565246,20.09345301,55,0.464879,56,0.51743,55.6683222,35,35.57486919
2,0,0.85,20,0.496894,21,0.577503,20.03853168,54,0.467575,55,0.513061,54.7128567,34,34.67432503
3,0,0.85,20,0.45077,21,0.518088,20.73130515,56,0.497525,57,0.545279,56.05182812,36,35.32052297
4,0,0.85,21,0.448211,22,0.515375,21.77108272,56,0.478689,57,0.528174,56.43065575,35,34.65957303
5,0,0.85,22,0.453698,23,0.524,22.65861569,58,0.498713,59,0.55604,58.02245015,36,35.36383447
6,0,0.85,22,0.438339,23,0.520151,22.75369139,58,0.469112,59,0.524467,58.55799837,36,35.80430698
7,0,0.85,21,0.461122,22,0.515477,21.71526079,56,0.467773,57,0.524321,56.56990521,35,34.85464443
8,0,0.85,19,0.484244,20,0.539264,19.28636859,55,0.482028,56,0.536856,55.32778872,36,36.04142013
9,0,0.85,19,0.47603,20,0.507493,19.76184725,55,0.496207,56,0.56084,55.05868519,36,35.29683794
10,0,0.85,21,0.492025,22,0.540816,21.16345228,57,0.487434,58,0.543776,57.22303078,36,36.0595785
11,0,0.85,20,0.479721,21,0.517903,20.53111414,53,0.474328,54,0.545836,53.35900878,33,32.82789464
12,0,0.85,21,0.494969,22,0.542857,21.10505763,56,0.461781,57,0.51027,56.78819939,35,35.68314175
13,0,0.85,21,0.473487,22,0.541367,21.39058633,58,0.457306,59,0.512245,58.77711644,37,37.38653011
14,0,0.85,21,0.482914,22,0.530522,21.35888926,55,0.453615,56,0.502746,55.94410861,34,34.58521935
15,0,0.85,22,0.455962,23,0.520351,22.6839367,58,0.471383,59,0.515698,58.64576329,36,35.96182659
16,0,0.85,19,0.451259,20,0.528231,19.63323027,54,0.450172,55,0.538807,54.5621707,35,34.92894043
17,0,0.85,20,0.462871,21,0.515172,20.70990994,54,0.441215,55,0.501933,54.9681643,34,34.25825436
18,0,0.85,20,0.484556,21,0.525292,20.37912412,54,0.45661,55,0.509422,54.82159358,34,34.44246946
19,0,0.85,23,0.476892,24,0.532269,23.41728515,57,0.465306,58,0.51615,57.68236173,34,34.26507658
0,0,0.9,20,0.497006,21,0.533949,20.08104377,55,0.488644,56,0.541667,55.21417121,35,35.13312744
1,0,0.9,20,0.445241,21,0.505409,20.91010172,52,0.489095,53,0.532874,52.24909203,32,31.33899032
2,0,0.9,20,0.434421,21,0.503537,20.94882516,56,0.449628,57,0.504296,56.92141655,36,35.97259139
3,0,0.9,21,0.491184,22,0.532682,21.21244397,56,0.483829,57,0.552166,56.23663608,35,35.02419211
4,0,0.9,23,0.479334,24,0.521484,23.49029656,59,0.465204,60,0.513545,59.71980307,36,36.22950651
5,0,0.9,19,0.480949,20,0.542,19.31205058,54,0.479241,55,0.523125,54.47304257,35,35.16099199
6,0,0.9,22,0.464331,23,0.507367,22.82881773,58,0.474906,59,0.536492,58.40746274,36,35.578645
7,0,0.9,20,0.496245,21,0.570548,20.05053632,54,0.462173,55,0.536137,54.51142448,34,34.46088816
8,0,0.9,22,0.487389,23,0.574198,22.14527296,55,0.449547,56,0.504132,55.92430155,33,33.77902859
9,0,0.9,23,0.474286,24,0.533333,23.4354836,56,0.474555,57,0.536601,56.41009896,33,32.97461536
10,0,0.9,21,0.434925,22,0.506209,21.9128977,56,0.458122,57,0.516019,56.723319,35,34.81042129
11,0,0.9,20,0.463288,21,0.503812,20.90593229,56,0.446822,57,0.547217,56.52968773,36,35.62375545
12,0,0.9,21,0.464891,22,0.523382,21.60024619,57,0.489362,58,0.537613,57.22047211,36,35.62022592
13,0,0.9,19,0.490196,20,0.551659,19.1595106,53,0.490058,54,0.559486,53.14319871,34,33.98368811
14,0,0.9,21,0.490566,22,0.556777,21.14248388,56,0.43295,57,0.522966,56.74486758,35,35.6023837
15,0,0.9,19,0.452638,20,0.500316,19.99337221,54,0.46187,55,0.509694,54.79729843,35,34.80392622
16,0,0.9,20,0.479263,21,0.509728,20.68068275,55,0.444713,56,0.510111,55.84539283,35,35.16471007
17,0,0.9,22,0.4767,23,0.548251,22.32564185,55,0.475169,56,0.550447,55.32985733,33,33.00421548
18,0,0.9,21,0.466224,22,0.523337,21.591389,56,0.474611,57,0.541026,56.3822781,35,34.7908891
19,0,0.9,19,0.476283,20,0.515783,19.60043038,53,0.441615,54,0.503519,53.94315392,34,34.34272354
0,0,0.95,18,0.472843,19,0.543646,18.38355719,52,0.439661,53,0.502304,52.96322015,34,34.57966296
1,0,0.95,20,0.442988,21,0.51087,20.83986918,52,0.444239,53,0.519498,52.74092135,32,31.90105217
2,0,0.95,18,0.466486,19,0.526076,18.5624098,51,0.477513,52,0.536934,51.37843523,33,32.81602543
3,0,0.95,19,0.454726,20,0.511069,19.80354259,52,0.483813,53,0.558498,52.21673696,33,32.41319437
4,0,0.95,18,0.465278,19,0.531662,18.52304772,51,0.496577,52,0.543683,51.0726659,33,32.54961818
5,0,0.95,19,0.491369,20,0.529091,19.22880547,54,0.469687,55,0.505141,54.85499521,35,35.62618973
6,0,0.95,20,0.430445,21,0.510982,20.86364031,55,0.470195,56,0.519337,55.60650767,35,34.74286736
7,0,0.95,20,0.488239,21,0.544643,20.20851358,55,0.476582,56,0.525097,55.48269607,35,35.27418249
8,0,0.95,21,0.457584,22,0.542949,21.49687811,55,0.479644,56,0.550032,55.28919702,34,33.79231891
9,0,0.95,19,0.463001,20,0.500321,19.99139871,56,0.493578,57,0.533573,56.16057007,37,36.16917136
10,0,0.95,20,0.490946,21,0.555985,20.13920878,51,0.470661,52,0.52038,51.59009634,31,31.45088756
11,0,0.95,19,0.453992,20,0.508532,19.84356436,52,0.463597,53,0.518566,52.66224599,33,32.81868164
12,0,0.95,19,0.462516,20,0.536829,19.50440704,54,0.448824,55,0.540963,54.5554217,35,35.05101466
13,0,0.95,21,0.461687,22,0.524321,21.61169652,55,0.458556,56,0.520564,55.66836537,34,34.05666885
14,0,0.95,21,0.489194,22,0.522742,21.32210564,56,0.438679,57,0.507534,56.89058166,35,35.56847602
15,0,0.95,20,0.498737,21,0.555556,20.02222848,54,0.477622,55,0.529565,54.4308184,34,34.40858992
16,0,0.95,19,0.487646,20,0.542735,19.2242553,53,0.457996,54,0.509742,53.81173424,34,34.58747894
17,0,0.95,19,0.478784,20,0.531928,19.39921722,52,0.494997,53,0.551658,52.08829707,33,32.68907984
18,0,0.95,21,0.45431,22,0.51466,21.75708368,55,0.46871,56,0.549808,55.38582949,34,33.62874581
19,0,0.95,20,0.490323,21,0.556054,20.14722125,54,0.478289,55,0.552773,54.29148542,34,34.14426417
0,0,1,19,0.496741,20,0.534091,19.08725569,53,0.456059,54,0.517382,53.71655007,34,34.62929438
1,0,1,18,0.481979,19,0.519925,18.47491172,53,0.454545,54,0.506078,53.88205616,35,35.40714444
2,0,1,19,0.485752,20,0.565663,19.17829836,51,0.467742,52,0.517152,51.65286379,32,32.47456544
3,0,1,18,0.475816,19,0.529333,18.45189379,52,0.481576,53,0.50489,52.79025478,34,34.33836099
4,0,1,19,0.493047,20,0.547315,19.12812339,53,0.491726,54,0.552564,53.13600053,34,34.00787714
5,0,1,19,0.470145,20,0.50786,19.79159486,53,0.486129,54,0.54902,53.2205562,34,33.42896134
6,0,1,18,0.460802,19,0.512402,18.75965116,47,0.487889,48,0.501926,47.86279119,29,29.10314003
7,0,1,20,0.47619,21,0.535065,20.40441614,52,0.473459,53,0.543242,52.38033619,32,31.97592005
8,0,1,20,0.453516,21,0.509091,20.83641925,51,0.454311,52,0.522713,51.66794831,31,30.83152905
9,0,1,17,0.451655,18,0.5009,17.98172403,52,0.471053,53,0.524814,52.53843865,35,34.55671461
10,0,1,17,0.464415,18,0.530849,17.5356444,48,0.44186,49,0.516564,48.77827158,31,31.24262718
11,0,1,18,0.472436,19,0.524611,18.52829899,52,0.439374,53,0.500957,52.98446,34,34.456161
12,0,1,18,0.499667,19,0.568421,18.00484335,51,0.461118,52,0.546379,51.456035,33,33.45119164
13,0,1,18,0.456832,19,0.517241,18.71459551,54,0.492642,55,0.545397,54.13947493,36,35.42487942
14,0,1,19,0.4677,20,0.54393,19.4237177,52,0.458891,53,0.517815,52.69766139,33,33.2739437
15,0,1,17,0.428005,18,0.505689,17.92676742,49,0.43884,50,0.513241,49.82203196,32,31.89526455
16,0,1,18,0.495641,19,0.559118,18.06867054,50,0.474565,51,0.534506,50.42433393,32,32.35566339
17,0,1,19,0.443454,20,0.501366,19.97641249,53,0.454488,54,0.541639,53.52222005,34,33.54580757
18,0,1,20,0.476309,21,0.545891,20.34047599,52,0.491114,53,0.553086,52.14338734,32,31.80291135
19,0,1,19,0.475585,20,0.509337,19.72336454,52,0.480247,53,0.524569,52.44567032,33,32.72230578
0,0.05,0.5,30,0.490385,31,0.522032,30.30382027,76,0.48453,77,0.51321,76.53940028,46,46.23558001
1,0.05,0.5,31,0.491162,32,0.534402,31.20439408,71,0.462667,72,0.504481,71.89283494,40,40.68844086
2,0.05,0.5,33,0.494093,34,0.521254,33.21748095,75,0.496622,76,0.538462,75.08073614,42,41.86325519
3,0.05,0.5,29,0.476493,30,0.511184,29.67761091,73,0.48507,74,0.527009,73.35599323,44,43.67838232
4,0.05,0.5,29,0.472938,30,0.537654,29.41816552,74,0.47066,75,0.527331,74.51772512,45,45.09955959
5,0.05,0.5,29,0.474453,30,0.529525,29.46388364,68,0.458228,69,0.509165,68.82007185,39,39.35618821
6,0.05,0.5,27,0.438503,28,0.50501,27.92466958,74,0.453242,75,0.500317,74.99326606,47,47.06859648
7,0.05,0.5,29,0.488447,30,0.53216,29.26429209,68,0.470435,69,0.523183,68.56049518,39,39.2962031
8,0.05,0.5,29,0.498462,30,0.53018,29.04848982,65,0.497319,66,0.53342,65.07426387,36,36.02577405
9,0.05,0.5,29,0.452474,30,0.508575,29.84715067,73,0.488162,74,0.527832,73.2984119,44,43.45126122
10,0.05,0.5,32,0.489849,33,0.517241,32.37058265,74,0.485347,75,0.530284,74.32607873,42,41.95549608
11,0.05,0.5,32,0.485488,33,0.507528,32.6584392,70,0.475399,71,0.54366,70.36039613,38,37.70195693
12,0.05,0.5,37,0.498123,38,0.553423,37.03394213,82,0.492084,83,0.506766,82.5391636,45,45.50522147
13,0.05,0.5,30,0.494596,31,0.559744,30.08294959,73,0.485075,74,0.532602,73.31403202,43,43.23108243
14,0.05,0.5,33,0.439185,34,0.510712,33.85023837,76,0.483168,77,0.519231,76.46673876,43,42.61650039
15,0.05,0.5,29,0.472125,30,0.536346,29.43404805,67,0.468923,68,0.502608,67.92257681,38,38.48852876
16,0.05,0.5,26,0.469599,27,0.51769,26.6321557,69,0.471448,70,0.503764,69.88352519,43,43.25136948
17,0.05,0.5,31,0.485525,32,0.538413,31.27369157,68,0.477887,69,0.507121,68.75641376,37,37.48272219
18,0.05,0.5,25,0.486169,26,0.525,25.35618449,66,0.477854,67,0.506849,66.76378686,41,41.40760237
