"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"zpg2X",8,0.0118,0,NA,1,77.95,0.00157822835,8.2095e-07,0.00040247705,4.211e-08,38338.552866,1672949.34135,NA,0,NA,0,NA,1,0.59278425,0,NA,1,0,0,0,0,0,0,0,1,7168.2543722,NA,7168.2543722,NA
"zpg2X",8,0.0156,0,NA,1,69.55,0.00160209385,1.26365e-06,0.00039774025,9.684e-08,38186.0065195,2579759.61725,NA,0,NA,0,NA,1,0.6216875,0,NA,1,0,0,0,0,0,0,0,1,6319.14960575,NA,6319.14960575,NA
"zpg2X",8,0.0194,0,NA,1,63,0.0015850634,2.33605e-06,0.0003921176,2.62345e-07,37965.037134,3820806.71215,NA,0,NA,0,NA,1,0.6337856,0,NA,1,0,0,0,0,0,0,0,1,5865.28114925,NA,5865.28114925,NA
"zpg2X",8,0.0232,0,NA,1,60.15,0.001511369,3.4265e-06,0.0003745814,4.6335e-07,37839.0607975,5322663.83335,NA,0,NA,0,NA,1,0.64825705,0,NA,1,0,0,0,0,0,0,0,1,5601.87179135,NA,5601.87179135,NA
"zpg2X",8,0.027,0,NA,1,55.25,0.00140011425,5.1035e-06,0.00035555925,9.878e-07,37796.659235,6753807.78205,NA,0,NA,0,NA,1,0.64747685,0,NA,1,0,0,0,0,0,0,0,1,5456.20580235,NA,5456.20580235,NA
"zpg2X",8,0.0308,0,NA,1,52.7,0.001261093,4.6385e-06,0.00030776905,7.2015e-07,37793.651481,6925352.1987,NA,0,NA,0,NA,1,0.65751195,0,NA,1,0,0,0,0,0,0,0,1,5361.7985995,NA,5361.7985995,NA
"zpg2X",8,0.0346,0,NA,1,50.9,0.0011388803,4.0585e-06,0.00028003075,7.532e-07,37740.3137305,7396384.0789,NA,0,NA,0,NA,1,0.65452055,0,NA,1,0,0,0,0,0,0,0,1,5275.30692435,NA,5275.30692435,NA
"zpg2X",8,0.0384,0.05,99,1,48.2,0.00863307605,0.0009164011,0.0036303738,0.00015839735,36204.33756335,14026937.1093,46,0,NA,0,NA,0.95,0.659993578947368,0,NA,0.95,0,0,0,0.05,0,0,0,0.95,5228.44775618144,4599.038462,5228.92725052632,4599.038462
"zpg2X",8,0.0422,0.05,93,0.95,46,0.00107941910526316,1.15852631578947e-05,0.000300615421052632,2.54105263157895e-06,37638.2650178947,10135833.9328947,NA,0,NA,0,NA,0.95,0.667207263157895,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,5175.71586278947,NA,5175.71586278947,NA
"zpg2X",8,0.046,0,NA,1,41.3,0.00102561455,1.65345e-05,0.00029631895,4.0014e-06,37670.3644375,10692408.66705,NA,0,NA,0,NA,1,0.6616762,0,NA,1,0,0,0,0,0,0,0,1,5171.9978388,NA,5171.9978388,NA
"zpg2X",9,0.008,0,NA,1,76.2,0.0012863096,4.1395e-07,0.0003119629,1.117e-08,39284.9888385,1051726.399955,NA,0,NA,0,NA,1,0.524134,0,NA,1,0,0,0,0,0,0,0,1,9280.70943025,NA,9280.70943025,NA
"zpg2X",9,0.0118,0,NA,1,62.5,0.00154021045,1.1459e-06,0.00035810075,4.1155e-08,39459.4981675,1707883.5842,NA,0,NA,0,NA,1,0.59314345,0,NA,1,0,0,0,0,0,0,0,1,7321.2448751,NA,7321.2448751,NA
"zpg2X",9,0.0156,0,NA,1,69.2,0.00153105495,1.39025e-06,0.0003489521,9.9165e-08,39422.5415475,2726691.3379,NA,0,NA,0,NA,1,0.6237699,0,NA,1,0,0,0,0,0,0,0,1,6440.24038875,NA,6440.24038875,NA
"zpg2X",9,0.0194,0,NA,1,63.35,0.00145857105,1.7725e-06,0.00032293635,1.521e-07,39386.260138,3267812.0923,NA,0,NA,0,NA,1,0.6374609,0,NA,1,0,0,0,0,0,0,0,1,6025.24173235,NA,6025.24173235,NA
"zpg2X",9,0.0232,0,NA,1,59.85,0.00136717235,2.463e-06,0.0003028294,3.06995e-07,39378.833503,5045089.40875,NA,0,NA,0,NA,1,0.64741945,0,NA,1,0,0,0,0,0,0,0,1,5787.15953855,NA,5787.15953855,NA
"zpg2X",9,0.027,0,NA,1,54.6,0.00126481475,3.1095e-06,0.00027574915,3.899e-07,39378.660771,5863172.4708,NA,0,NA,0,NA,1,0.65516175,0,NA,1,0,0,0,0,0,0,0,1,5649.92973555,NA,5649.92973555,NA
"zpg2X",9,0.0308,0,NA,1,53.45,0.00118465985,5.9305e-06,0.0002697841,9.62e-07,39383.0143895,7324775.0152,NA,0,NA,0,NA,1,0.65631635,0,NA,1,0,0,0,0,0,0,0,1,5552.3145544,NA,5552.3145544,NA
"zpg2X",9,0.0346,0,NA,1,49.45,0.001152444,1.6737e-05,0.000279288,2.76795e-06,39362.1556395,8775041.269,NA,0,NA,0,NA,1,0.6578436,0,NA,1,0,0,0,0,0,0,0,1,5487.1006953,NA,5487.1006953,NA
"zpg2X",9,0.0384,0,NA,1,47.85,0.00101571595,7.55395e-06,0.00024186175,1.46175e-06,39353.6247895,8980682.39345,NA,0,NA,0,NA,1,0.66096665,0,NA,1,0,0,0,0,0,0,0,1,5430.29337595,NA,5430.29337595,NA
