Number,Migration,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
7,0.015,10,0.392157,11,0.579961,10.57423165,41,0.447266,42,0.540839,41.56356,31,30.98932836
8,0.015,10,0.407129,11,0.539916,10.69939828,38,0.416667,39,0.576846,38.52024922,28,27.82085094
9,0.015,12,0.46988,13,0.591837,12.24697229,40,0.477228,41,0.536232,40.38593994,28,28.13896764
10,0.015,11,0.486175,12,0.612091,11.10979542,39,0.429787,40,0.561446,39.53329434,28,28.42349892
11,0.015,11,0.405941,12,0.568134,11.57992022,39,0.424547,40,0.594697,39.4434499,28,27.86352968
12,0.015,11,0.377404,12,0.507246,11.94419371,36,0.353728,37,0.525105,36.8535101,25,24.90931639
13,0.015,10,0.497817,11,0.690832,10.01131,38,0.403442,39,0.536346,38.72652441,28,28.71521441
14,0.015,10,0.421412,11,0.556622,10.5812292,38,0.444898,39,0.572034,38.43340989,28,27.85218069
15,0.015,11,0.390135,12,0.60124,11.52042822,43,0.412888,44,0.594655,43.47925091,32,31.95882269
16,0.015,11,0.455982,12,0.535874,11.55096881,41,0.427332,42,0.502358,41.9685709,30,30.41760209
17,0.015,11,0.474537,12,0.594771,11.2117787,44,0.425,45,0.509009,44.89276149,33,33.68098279
18,0.015,11,0.397338,12,0.548913,11.67730167,39,0.477218,40,0.577922,39.22622736,28,27.54892569
19,0.015,11,0.40619,12,0.532588,11.74217946,39,0.430712,40,0.580882,39.46139708,28,27.71921762
0,0.015,11,0.416822,12,0.570833,11.54007831,41,0.364151,42,0.512712,41.91443246,30,30.37435415
1,0.015,11,0.49692,12,0.565445,11.0449471,43,0.478372,44,0.613445,43.16012082,32,32.11517372
2,0.015,13,0.441624,14,0.559211,13.49644944,44,0.421659,45,0.602978,44.43206173,31,30.93561229
3,0.015,12,0.468451,13,0.585417,12.26972796,40,0.448898,41,0.591102,40.35935698,28,28.08962902
4,0.015,13,0.498024,14,0.56447,13.02973843,42,0.458418,43,0.599572,42.29458605,29,29.26484762
5,0.015,11,0.432018,12,0.518428,11.78673765,41,0.493023,42,0.518018,41.27913583,30,29.49239818
6,0.015,12,0.415441,13,0.532751,12.72081664,43,0.497942,44,0.600478,43.020071,31,30.29925436
7,0.015,12,0.478541,13,0.541304,12.34190526,41,0.458418,42,0.539615,41.51211252,29,29.17020725
8,0.015,13,0.482474,14,0.616162,13.13109628,44,0.449597,45,0.557203,44.46840325,31,31.33730697
9,0.015,12,0.462222,13,0.589686,12.29638172,43,0.465665,44,0.5875,43.28181557,31,30.98543385
10,0.015,10,0.453744,11,0.581858,10.36105344,38,0.387665,39,0.512821,38.89755985,28,28.53650641
11,0.015,10,0.418349,11,0.533742,10.70759058,41,0.492662,42,0.629187,41.0537484,31,30.34615782
12,0.015,13,0.495122,14,0.622642,13.03825282,38,0.452555,39,0.624738,38.27554985,25,25.23729703
13,0.015,11,0.383948,12,0.530364,11.79261829,37,0.427553,38,0.543307,37.62587038,26,25.83325209
14,0.015,12,0.458414,13,0.507317,12.85037728,41,0.399232,42,0.501124,41.98896871,29,29.13859143
15,0.015,14,0.458974,15,0.632184,14.23685699,48,0.349666,49,0.504255,48.9724754,34,34.73561841
16,0.015,12,0.373853,13,0.523707,12.84179935,41,0.476496,42,0.607219,41.17980004,29,28.33800068
17,0.015,11,0.431034,12,0.617978,11.36891262,42,0.447005,43,0.553299,42.49857,31,31.12965739
18,0.015,11,0.412698,12,0.591011,11.48959975,35,0.426696,36,0.546599,35.61136085,24,24.1217611
19,0.015,13,0.448357,14,0.563241,13.449523,49,0.44186,50,0.616751,49.33243563,36,35.88291263
0,0.015,9,0.368794,10,0.534021,9.794095396,36,0.450939,37,0.580122,36.37977907,27,26.58568368
1,0.015,12,0.486957,13,0.611399,12.10481188,40,0.448065,41,0.563246,40.45089902,28,28.34608714
2,0.015,13,0.475104,14,0.559913,13.29355375,42,0.467347,43,0.556044,42.36814097,29,29.07458722
3,0.015,12,0.452282,13,0.53951,12.54704911,45,0.498615,46,0.56701,45.02025002,33,32.47320091
4,0.015,12,0.477807,13,0.618644,12.15757933,40,0.487234,41,0.557789,40.18093686,28,28.02335753
5,0.015,11,0.403548,12,0.55,11.65859121,39,0.429561,40,0.506494,39.91558889,28,28.25699768
6,0.015,12,0.427386,13,0.505353,12.93134275,41,0.458427,42,0.606719,41.28034553,29,28.34900279
7,0.015,13,0.481818,14,0.645477,13.11109685,38,0.405138,39,0.527845,38.77307733,25,25.66198048
8,0.015,11,0.386064,12,0.504405,11.96277706,40,0.437653,41,0.623377,40.33569706,29,28.37292
9,0.015,12,0.498934,13,0.634085,12.00788747,41,0.473923,42,0.608808,41.19332765,29,29.18544018
