Number,GROWTH,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Actual_Timed_Gens
0,6,7,0,8,1027,7.973709834,14,936,15,1037,14.63366337,6.659953532
0,6,9,0,10,1042,9.959692898,17,999,18,1035,17.02777778,7.06808488
0,6,7,0,8,1004,7.996015936,15,999,16,1085,15.01162791,7.015611971
0,6,6,0,7,1010,6.99009901,17,982,18,1097,17.15652174,10.16642273
0,6,6,0,7,1045,6.956937799,15,946,16,1023,15.7012987,8.744360902
0,6,10,0,11,1018,10.98231827,13,741,14,1015,13.94525547,2.962937203
0,6,8,0,9,1051,8.951474786,17,969,18,1058,17.34831461,8.396839821
0,6,8,0,9,1024,8.9765625,18,952,19,1045,18.51612903,9.539566532
1,6,7,0,8,1015,7.985221675,15,948,16,1024,15.68421053,7.698988851
1,6,8,0,9,1024,8.9765625,23,987,24,1037,23.26,14.2834375
1,6,9,0,10,1003,9.997008973,15,879,16,1010,15.92366412,5.926655149
1,6,9,0,10,1009,9.991080278,16,991,17,1051,16.15,6.158919722
1,6,8,0,9,1020,8.980392157,14,965,15,1006,14.85365854,5.87326638
1,6,10,0,11,1056,10.9469697,15,965,16,1004,15.8974359,4.9504662
1,6,7,0,8,1001,7.999000999,15,953,16,1016,15.74603175,7.747030747
1,6,7,0,8,1015,7.985221675,15,979,16,1061,15.25609756,7.270875886
1,6,8,0,9,1020,8.980392157,17,926,18,1065,17.5323741,8.551981944
1,6,8,0,9,1054,8.948766603,14,993,15,1034,14.17073171,5.221965104
1,6,9,0,10,1021,9.979431929,15,999,16,1007,15.125,5.145568071
1,6,6,0,7,1033,6.968054211,15,997,16,1077,15.0375,8.069445789
1,6,8,0,9,1049,8.953288847,14,940,15,1016,14.78947368,5.836184838
1,6,7,0,8,1036,7.965250965,14,902,15,1029,14.77165354,6.806402578
1,6,6,0,7,1022,6.978473581,17,990,18,1026,17.27777778,10.2993042
1,6,9,0,10,1001,9.999000999,20,931,21,1019,20.78409091,10.78508991
1,6,9,0,10,1004,9.996015936,14,888,15,1009,14.92561983,4.929603898
1,6,9,0,10,1045,9.956937799,16,995,17,1007,16.41666667,6.459728868
1,6,7,0,8,1010,7.99009901,15,927,16,1007,15.9125,7.92240099
1,6,12,0,13,1006,12.99403579,15,861,16,1006,15.95862069,2.964584904
2,6,7,0,8,1008,7.992063492,17,998,18,1013,17.13333333,9.141269841
2,6,7,0,8,1019,7.981354269,18,983,19,1018,18.48571429,10.50436002
2,6,8,0,9,1062,8.941619586,17,972,18,1078,17.26415094,8.322531358
2,6,7,0,8,1007,7.993048659,17,960,18,1009,17.81632653,9.823277871
2,6,10,0,11,1040,10.96153846,16,895,17,1004,16.96330275,6.001764291
2,6,8,0,9,1041,8.960614793,17,963,18,1033,17.52857143,8.567956635
2,6,9,0,10,1066,9.938086304,16,960,17,1007,16.85106383,6.912977526
2,6,8,0,9,1050,8.952380952,16,963,17,1006,16.86046512,7.908084164
2,6,7,0,8,1004,7.996015936,14,848,15,1004,14.97435897,6.978343038
2,6,9,0,10,1013,9.987166831,17,980,18,1034,17.37037037,7.383203539
2,6,9,0,10,1033,9.968054211,15,945,16,1003,15.94827586,5.980221651
2,6,8,0,9,1032,8.968992248,17,1000,18,1004,17,8.031007752
2,6,9,0,10,1060,9.943396226,17,995,18,1022,17.18518519,7.241788959
2,6,7,0,8,1060,7.943396226,17,972,18,1023,17.54901961,9.605623381
2,6,7,0,8,1001,7.999000999,16,948,17,1010,16.83870968,8.839708678
